Player ID,Name,Member ID,Height,Year of Birth,Play R or L,Career,This Year,History
38CBD70E-A643-4170-9E6A-28863412DC7B,SHI Yu Qi,57945,184 cm,1996,Right handed,319 / 111 (430),43 / 7 (50),: W | : W | : L | : W | : L
3BF0C3EA-7BFB-4CC9-A955-3712D850CFA4,Viktor AXELSEN,25831,194 cm,1994,Right handed,555 / 156 (711),31 / 6 (37),: W | : W | : W | : W | : L
473960FD-334B-476F-9821-8ED9398BC1A8,Anders ANTONSEN,91554,183 cm,1997,Right handed,333 / 114 (447),41 / 11 (52),: W | : L | : W | : W | : L
7804BE61-F954-4C46-9E72-FED84BDA7FEB,Kodai NARAOKA,62063,173 cm,2001,Right handed,228 / 98 (326),32 / 15 (47),: W | : W | : W | : W | : L
21E9EAF0-5C86-416F-A942-C3ECA088ACDC,LEE Zii Jia,81561,186 cm,1998,Right handed,293 / 134 (427),36 / 14 (50),: W | : L | : W | : L | : L
F3151E6C-C49B-41D8-A71C-4EA437ECA8AC,LI Shi Feng,95476,185 cm,2000,Right handed,183 / 73 (256),24 / 14 (38),: L | : W | : W | : L | : L
6A537DB2-42E4-4604-81DF-6D1ECF387DCE,Jonatan CHRISTIE,73442,179 cm,1997,Right handed,323 / 158 (481),24 / 9 (33),: L | : W | : W | : W | : L
66BFCA58-F3D2-40A2-9454-F1E0470675CF,Kunlavut VITIDSARN,64032,173 cm,2001,Right handed,381 / 135 (516),28 / 10 (38),: L | : W | : W | : W | : L
41A01287-FA86-45C1-B980-860FC1C2DEB4,CHOU Tien Chen,34810,180 cm,1990,Right handed,531 / 294 (825),41 / 21 (62),: W | : W | : L | : W | : L
116CDE79-DCC5-42CD-9EC7-1157B92902EF,Anthony Sinisuka GINTING,95661,171 cm,1996,Right handed,299 / 167 (466),23 / 14 (37),: W | : L | : W | : W | : L
64D7D22C-CE54-4C9A-8EC3-70D9C7CEED71,LOH Kean Yew,76115,,1997,,244 / 154 (398),22 / 17 (39),: L | : L | : L | : W | : L
32AED508-B513-411E-8306-FEDBEDD0A5C7,LIN Chun-Yi,86114,181 cm,1999,Left handed,176 / 85 (261),34 / 20 (54),: W | : W | : W | : W | : W
F652F6F8-48D5-4B3A-9A00-5E456A29B7C6,Kenta NISHIMOTO,85394,180 cm,1994,Right handed,256 / 166 (422),20 / 19 (39),: L | : L | : L | : W | : L
71F9CCD6-EC2B-460D-B143-A796AD3E3BC6,Koki WATANABE,97174,167 cm,1999,Left handed,176 / 104 (280),23 / 13 (36),: W | : L | : W | : W | : L
43FDD4D9-5C6C-493E-8DA6-EB11B6BFF98D,WENG Hong Yang,77042,182 cm,1999,Left handed,96 / 57 (153),14 / 12 (26),: W | : W | : W | : W | : W
185EAD78-1D70-4CF1-99DE-EB9645BFA78D,LEE Cheuk Yiu,94780,178 cm,1996,Right handed,202 / 158 (360),14 / 19 (33),: L | : W | : W | : L | : L
8DB65BF4-2593-4835-8ADF-36F6656B4217,LU Guang Zu,77427,178 cm,1996,Right handed,133 / 92 (225),19 / 13 (32),: W | : W | : W | : L | : L
9906AA55-580B-465A-8782-2251A4912DB9,PRANNOY H. S.,83950,179 cm,1992,Right handed,286 / 195 (481),12 / 15 (27),: W | : L | : W | : W | : L
18243FD1-E275-4DE0-9839-4A745A1D4CEA,Toma Junior POPOV,61628,196 cm,1998,Right handed,422 / 262 (684),28 / 32 (60),: L | : L | : L | : W | : L
308281C5-9A0C-4016-B8BD-672AB2D833A7,Lakshya SEN,68870,179 cm,2001,Right handed,248 / 112 (360),20 / 12 (32),: W | : W | : W | : L | : L
F01EAC7A-8319-4695-85D3-869A0EDE2DB5,Alex LANIER,94580,180 cm,2005,,234 / 77 (311),30 / 9 (39),: W | : W | : W | : W | : L
867B0B09-99D8-41E0-B2E0-5263A9C4451E,LEI Lan Xi,91673,,1998,,94 / 41 (135),24 / 16 (40),: W | : L | : W | : W | : L
A815B039-2D22-4DF8-9BE9-591B7EFAFE75,LEE Chia Hao,59322,179 cm,1999,,237 / 140 (377),27 / 19 (46),: W | : W | : L | : W | : L
96F8277F-D90F-4841-BEC9-C6A025C8DA96,WANG Tzu Wei,87375,178 cm,1995,Right handed,315 / 244 (559),19 / 21 (40),: W | : L | : L | : W | : L
B701FB3D-0671-4249-8AAA-758FE92E72C5,NG Ka Long Angus,45171,181 cm,1994,Right handed,358 / 243 (601),18 / 20 (38),: L | : W | : L | : L | : L
E2BF7725-CB3A-4E87-A038-5B757D6B7BAD,Brian YANG,63122,184 cm,2001,Right handed,294 / 130 (424),18 / 18 (36),: L | : W | : L | : W | : L
46137DBB-EB12-42C9-B08A-2304E0AE2217,Christo POPOV,72885,179 cm,2002,Left handed,338 / 208 (546),23 / 30 (53),: L | : W | : L | : L | : L
06E59783-2CDF-4BB5-92F0-7442B76E0481,Rasmus GEMKE,62855,185 cm,1997,Right handed,189 / 115 (304),20 / 15 (35),: W | : L | : W | : L | : L
4BAFC1F8-A97D-479E-A596-0C0393D7306A,LEONG Jun Hao,84838,173 cm,1999,Right handed,193 / 90 (283),19 / 17 (36),: L | : L | : W | : L | : L
