Rank,Name,Member ID,Country,Member Points,Tournaments Played,Profile Link
1,SHI Yu Qi,57945,China,101815,18,/player-profile/38CBD70E-A643-4170-9E6A-28863412DC7B
2,Viktor AXELSEN,25831,Denmark,93790,14,/player-profile/3BF0C3EA-7BFB-4CC9-A955-3712D850CFA4
3,Anders ANTONSEN,91554,Denmark,84241,22,/player-profile/473960FD-334B-476F-9821-8ED9398BC1A8
4,Kodai NARAOKA,62063,Japan,84197,22,/player-profile/7804BE61-F954-4C46-9E72-FED84BDA7FEB
5,LEE Zii Jia,81561,Malaysia,83716,22,/player-profile/21E9EAF0-5C86-416F-A942-C3ECA088ACDC
6,LI Shi Feng,95476,China,82996,18,/player-profile/F3151E6C-C49B-41D8-A71C-4EA437ECA8AC
7,Jonatan CHRISTIE,73442,Indonesia,82117,17,/player-profile/6A537DB2-42E4-4604-81DF-6D1ECF387DCE
8,Kunlavut VITIDSARN,64032,Thailand,80458,17,/player-profile/66BFCA58-F3D2-40A2-9454-F1E0470675CF
9,CHOU Tien Chen,34810,Chinese Taipei,71877,30,/player-profile/41A01287-FA86-45C1-B980-860FC1C2DEB4
10,Anthony Sinisuka GINTING,95661,Indonesia,71835,19,/player-profile/116CDE79-DCC5-42CD-9EC7-1157B92902EF
11,LOH Kean Yew,76115,Singapore,64233,23,/player-profile/64D7D22C-CE54-4C9A-8EC3-70D9C7CEED71
12,LIN Chun-Yi,86114,Chinese Taipei,62801,28,/player-profile/32AED508-B513-411E-8306-FEDBEDD0A5C7
13,Kenta NISHIMOTO,85394,Japan,62262,25,/player-profile/F652F6F8-48D5-4B3A-9A00-5E456A29B7C6
14,Koki WATANABE,97174,Japan,61034,20,/player-profile/71F9CCD6-EC2B-460D-B143-A796AD3E3BC6
15,WENG Hong Yang,77042,China,59930,19,/player-profile/43FDD4D9-5C6C-493E-8DA6-EB11B6BFF98D
16,LEE Cheuk Yiu,94780,Hong Kong China,58959,24,/player-profile/185EAD78-1D70-4CF1-99DE-EB9645BFA78D
17,LU Guang Zu,77427,China,57551,21,/player-profile/8DB65BF4-2593-4835-8ADF-36F6656B4217
18,PRANNOY H. S.,83950,India,57292,16,/player-profile/9906AA55-580B-465A-8782-2251A4912DB9
19,Toma Junior POPOV,61628,France,55815,22,/player-profile/18243FD1-E275-4DE0-9839-4A745A1D4CEA
20,Lakshya SEN,68870,India,55428,16,/player-profile/308281C5-9A0C-4016-B8BD-672AB2D833A7
21,Alex LANIER,94580,France,52290,17,/player-profile/F01EAC7A-8319-4695-85D3-869A0EDE2DB5
22,LEI Lan Xi,91673,China,52076,20,/player-profile/867B0B09-99D8-41E0-B2E0-5263A9C4451E
23,LEE Chia Hao,59322,Chinese Taipei,51955,26,/player-profile/A815B039-2D22-4DF8-9BE9-591B7EFAFE75
24,WANG Tzu Wei,87375,Chinese Taipei,51803,28,/player-profile/96F8277F-D90F-4841-BEC9-C6A025C8DA96
25,NG Ka Long Angus,45171,Hong Kong China,51576,24,/player-profile/B701FB3D-0671-4249-8AAA-758FE92E72C5
26,Brian YANG,63122,Canada,51073,21,/player-profile/E2BF7725-CB3A-4E87-A038-5B757D6B7BAD
27,Christo POPOV,72885,France,48335,21,/player-profile/46137DBB-EB12-42C9-B08A-2304E0AE2217
28,Rasmus GEMKE,62855,Denmark,47694,20,/player-profile/06E59783-2CDF-4BB5-92F0-7442B76E0481
29,LEONG Jun Hao,84838,Malaysia,46918,20,/player-profile/4BAFC1F8-A97D-479E-A596-0C0393D7306A
30,Yushi TANAKA,86672,Japan,46720,14,/player-profile/F234895B-8D83-4177-A13E-A18C4DFD929F
31,Chico Aura DWI WARDOYO,71408,Indonesia,43195,16,/player-profile/38860356-E3F7-4243-AF7B-5D7F3FE03779
32,NG Tze Yong,81362,Malaysia,42745,9,/player-profile/A98B009F-04EE-467B-AD3C-5054D4AFAA12
33,Takuma OBAYASHI,74076,Japan,42299,17,/player-profile/940CFF46-1E04-48E9-B334-93865F957CD6
34,CHI Yu Jen,77848,Chinese Taipei,41666,19,/player-profile/9CB30E0C-94A5-4B00-AB15-04C098FFAEDB
35,Priyanshu RAJAWAT,69093,India,41040,16,/player-profile/095A87AF-A640-4EFC-BEF2-AB219F42BADC
36,Kantaphon WANGCHAROEN,92508,Thailand,40920,27,/player-profile/21A8C5FA-2F36-467A-8399-6C2CCFC11E18
37,SU Li Yang,94397,Chinese Taipei,40690,25,/player-profile/A4A5BB56-8FB4-4A40-A84A-A3706CEFA099
38,KIDAMBI Srikanth,93627,India,38933,18,/player-profile/A9509AF9-8009-48A4-A4E2-486F125004C5
39,JEON Hyeok Jin,65580,Korea,38443,20,/player-profile/FF880BF1-D736-4A93-B2D4-34730B3D6A57
40,Kiran GEORGE,68317,India,37765,21,/player-profile/5955AC97-E24C-4550-AE1D-64A5E1F97345
41,Nhat NGUYEN,85095,Ireland,36693,16,/player-profile/45868E97-3B63-4B4D-AB9E-39515E2F80AB
42,Magnus JOHANNESEN,97030,Denmark,35380,19,/player-profile/9DBFAA48-08A2-4629-9BF8-5DEDFEA9BF03
43,Sathish Kumar KARUNAKARAN,79164,India,35300,23,/player-profile/E2CC18A9-82B2-402E-8847-73F760BC903F
44,Jia Heng Jason TEH,82606,Singapore,34698,19,/player-profile/FDB397B3-F747-44A7-BA69-3D8ACFBD93C9
45,Mads CHRISTOPHERSEN,83938,Denmark,33873,17,/player-profile/8EDC5150-9DCA-45B7-84F0-0FED91C1EC9A
46,Arnaud MERKLE,59543,France,32625,18,/player-profile/3135C995-9D91-4A89-83EF-6D81DB87F11A
47,Alwi FARHAN,58089,Indonesia,32462,15,/player-profile/943E5403-1C4F-4D68-82C2-52D9C14067D1
48,Julien CARRAGGI,70399,Belgium,32327,16,/player-profile/E7929C2D-AB33-4262-9C2F-A443F9FBFE03
49,Jason GUNAWAN,65634,Hong Kong China,31236,15,/player-profile/7BD1A150-A127-4824-A9F5-D16B3FB49909
50,Mark CALJOUW,76973,Netherlands,31022,18,/player-profile/EFBE7D9C-9DFA-462B-8E08-311DB08F7A88
51,Ygor COELHO,96429,Brazil,30592,16,/player-profile/D5A6B9B2-89B9-4ABF-93B2-BEF5DCA6FBD7
52,Justin HOH,68392,Malaysia,30412,12,/player-profile/94A159AC-E1CC-4385-82D1-F5C6196A037E
53,Kevin CORDON,54897,Guatemala,29866,9,/player-profile/B8ECFF4D-C7A9-4778-AE13-900E7F626638
54,Koo TAKAHASHI,86230,Japan,29650,13,/player-profile/080ED059-FACB-4B84-BA6A-5D6437336CD7
55,CHEAM June Wei,92796,Malaysia,29327,15,/player-profile/B7031DD3-B09C-47E9-ACBD-8B7E5D1678FE
56,Joakim OLDORFF,85563,Finland,29260,23,/player-profile/4F69D11D-2A70-44DE-9685-83E57A30CE64
57,Ayush SHETTY,68322,India,28710,16,/player-profile/D8430ED4-29D2-4D40-BBAB-097BA77C2D91
58,LE Duc Phat,69345,Vietnam,28700,16,/player-profile/4FDBDA65-F854-441D-9BDF-AE126F213422
59,Jan LOUDA,61423,Czechia,28636,15,/player-profile/23ECDCDE-2F04-4D19-B2D3-46AD6709308B
60,ZHAO Jun Peng,95930,China,28620,8,/player-profile/AC873DD7-89E0-4A52-8E12-1F5A0506E27A
61,Uriel Francisco CANJURA ARTIGA,74579,El Salvador,28549,13,/player-profile/7E0F5DB7-EF7F-4B68-8D46-8473F7DEB1EA
62,Ade Resky DWICAHYO,78890,Azerbaijan,27717,17,/player-profile/E4D8715E-ED16-4D41-9B06-A6430EAE301F
63,Yohanes Saut MARCELLYNO,84764,Indonesia,27593,10,/player-profile/DED48F68-8D0A-48AC-B191-733C65A9E28A
64,Kalle KOLJONEN,92655,Finland,26986,15,/player-profile/2DDBA2CA-65A3-4A4A-B999-8A709A7A8E83
65,Riku HATANO,62018,Japan,26940,12,/player-profile/412CBC4A-85A3-4B84-8F8F-7837E9984C4C
66,WANG Zheng Xing,89163,China,26714,9,/player-profile/36AFB674-67BF-488D-A87C-3EBE6AA7F6F0
67,Pablo ABIAN,14251,Spain,26616,19,/player-profile/638FB7FF-AEC5-45EA-A2C2-0DBD6DA58BAB
68,SOONG Joo Ven,87117,Malaysia,26230,15,/player-profile/455A4370-6B13-48A8-9C06-727A505A1DBB
69,Meiraba Luwang MAISNAM,91651,India,26000,21,/player-profile/9EC5F4DC-9650-4FF1-A54A-007DB43E316C
70,Panitchaphon TEERARATSAKUL,85845,Thailand,25894,14,/player-profile/BD703441-50F7-4748-9BF6-677C441B0606
71,Misha ZILBERMAN,52953,Israel,25581,12,/player-profile/E538ADF6-1701-42A7-8BB2-A3AEBD094781
72,Jonathan MATIAS,86470,Brazil,24517,12,/player-profile/43D1EEC8-A9D4-4FD6-B045-18476871FE2A
73,NGUYEN Hai Dang,64648,Vietnam,24440,17,/player-profile/97EF5690-6DEE-4D84-B5B0-A4B9EA27615E
74,KUO Kuan Lin,59077,Chinese Taipei,24140,16,/player-profile/FD42AFDD-9375-48A0-8FFB-C2092DB1F3CF
75,Dmitriy PANARIN,82989,Kazakhstan,23845,22,/player-profile/5AA8FBC8-5595-45FF-8C76-88E992C9AFE0
76,S.Sankar Muthusamy SUBRAMANIAN,91814,India,23580,24,/player-profile/FAB33451-6397-4D5F-A520-E578682807F6
77,Giovanni TOTI,69253,Italy,22841,19,/player-profile/69557ED8-A551-4D23-85F8-E081E21B75A4
78,Viren NETTASINGHE,64666,Sri Lanka,22830,19,/player-profile/AAEF1EC9-4062-4F48-9345-6962240656DC
79,Shesar Hiren RHUSTAVITO,81887,Indonesia,22730,12,/player-profile/1D99852C-5737-4201-A370-83BB6CE7A2ED
80,Mithun MANJUNATH,62720,India,22470,15,/player-profile/39E40D58-5E98-405B-BF99-9F86560BD360
81,Sameer VERMA,77003,India,21930,12,/player-profile/AA9D1A0B-2529-4B20-8421-7F31183EFA29
82,Luis Ramon GARRIDO,97943,Mexico,21259,10,/player-profile/20A85CE7-FC4D-406B-8177-B869D6D9C9CA
83,Howard SHU,46776,U.S.A.,21172,16,/player-profile/B8AC1951-26B9-4EB4-B33C-9CDA6B637876
84,Ikhsan Leonardo Imanuel RUMBAY,90657,Indonesia,21020,9,/player-profile/79FD1AB5-7FFC-4647-9013-CE92DBF25A8C
85,Tharun MANNEPALLI,92160,India,20820,13,/player-profile/0E3B5A73-065A-460D-ADF8-7211D2905A51
86,WANG Po-Wei,87029,Chinese Taipei,20540,10,/player-profile/812AB12F-2D63-428F-8845-8D8D5514597A
87,Fabian ROTH,57297,Germany,20539,19,/player-profile/DEA4E911-16AF-4839-8AEB-F69AF1CA5BF8
88,Joran KWEEKEL,62286,Netherlands,20325,15,/player-profile/C27BE800-A5A0-4F26-A3CF-80A31B9BCEAC
89,Xiaodong SHENG,77143,Canada,20210,17,/player-profile/5EBC7880-A4B4-4E30-B614-FBD76CA9C63E
90,LIAO Jhuo-Fu,64081,Chinese Taipei,20150,13,/player-profile/0956321F-9DF2-46BC-AECE-B047CB30FEA9
91,HUANG Yu Kai,98595,Chinese Taipei,19870,15,/player-profile/4B345CED-E3FC-4E31-8963-DE0B7B7BD77B
92,Georges Julien PAUL,64839,Mauritius,19672,19,/player-profile/21637069-7CDA-4199-AD94-2B4F601FA3B0
93,CHAN Yin Chak,57924,Hong Kong China,19579,14,/player-profile/6EDEE107-E3DE-455E-A215-3F168C382206
94,Chirag SEN,83657,India,19466,15,/player-profile/16EFA554-1313-4F8D-801B-EAA45F51B9BB
95,Sholeh AIDIL,79110,Malaysia,19090,9,/player-profile/7DA6A502-73D7-4955-97B8-11060FD7D927
96,Raghu MARISWAMY,62932,India,19070,18,/player-profile/8EAE272D-DC7A-4AF9-8D46-96B3E9B68D26
97,Adriano VIALE,55942,Peru,19018,15,/player-profile/A85821A0-CC3E-4673-9053-67CE0F9A4397
98,Kai SCHAEFER,20808,Germany,18741,19,/player-profile/F765CDBC-E01B-4F87-92F5-2E4E05FBF128
99,Enogat ROY,85118,France,18630,16,/player-profile/9F87B1B8-F6CE-4814-B370-79E164E23330
100,Tobias KUENZI,60427,Switzerland,18238,17,/player-profile/94ECC19D-4C42-486C-BDA4-860A2B58E21C
101,Victor ørding KAUFFMANN,90360,Denmark,18220,16,/player-profile/4B93D582-6915-406F-8B55-3255E46890F6
